Name,Easting,Northing,Type,Voltage__kV_,BSP_Group,BCA_Group__GSP_
Newton Heath (33 kV / 6.6 kV),"388030.0","400511.0",Primary,33 kV / 6.6,Chadderton,Whitegate
Newton Le Willows (33 kV / 11 kV),"357891.0","395944.0",Primary,33 kV / 11,Golborne,Bold
Newtongate T11 & T12 (33 kV / 11 kV),"349973.0","530340.0",Primary,33 kV / 11,Penrith & Shap,Hutton
Newtongate T13 (33 kV / 11 kV),"349973.0","530340.0",Primary,33 kV / 11,Penrith & Shap,Hutton
Norbreck (33 kV / 6.6 kV),"331831.0","441463.0",Primary,33 kV / 6.6,Bispham,Penwortham 
Norbury (33 kV / 11 kV),"392447.0","385492.0",Primary,33 kV / 11,Hazel Grove,Bredbury
Northenden (33 kV / 6.6 kV),"382555.0","390327.0",Primary,33 kV / 6.6,West Didsbury,South Manchester
Nwgb Partington (33 kV / 6.6 kV),"372569.0","392079.0",Primary,33 kV / 6.6,Carrington Bsp,Carrington
Offerton (33 kV / 6.6 kV),"391010.0","389489.0",Primary,33 kV / 6.6,Vernon Park,Bredbury
Openshaw (33 kV / 6.6 kV),"388606.0","397346.0",Primary,33 kV / 6.6,Droylsden,Stalybridge
Ormskirk (33 kV / 11 kV),"341294.0","408158.0",Primary,33 kV / 11,Skelmersdale,Washway Farm
Padiham (33 kV / 11 kV),"378428.0","433238.0",Primary,33 kV / 11,Padiham,Padiham
